date,station,global,diffuse
2020-08-01,BUENOS AIRES OBSERVATORIO,NaN,NaN
2020-08-01,USHUAIA AERO,37.38307162726009,-56862.18121766342
2020-08-04,BUENOS AIRES OBSERVATORIO,282.9158478835979,52.981816137566135
2020-08-04,USHUAIA AERO,43.91306536856745,-2471.133925591099
2020-08-05,BUENOS AIRES OBSERVATORIO,89.54425660639778,62.784318497913766
2020-08-05,USHUAIA AERO,45.10168219749652,-1674.2627322670376
2020-08-06,BUENOS AIRES OBSERVATORIO,61.65872600834492,50.27711335187761
2020-08-06,USHUAIA AERO,33.49952016689847,-19873.82866968011
2020-08-07,BUENOS AIRES OBSERVATORIO,15.397753129346315,14.54392280945758
2020-08-07,USHUAIA AERO,41.02222322670376,-691410.9824109875
2020-08-08,BUENOS AIRES OBSERVATORIO,92.41169958275383,58.19558553546592
2020-08-08,USHUAIA AERO,45.643630737134906,-891592.357
2020-08-09,BUENOS AIRES OBSERVATORIO,-0.9872222222222222,-0.4595666666666666
2020-08-09,USHUAIA AERO,15.947675938803894,-891592.357
2020-08-10,BUENOS AIRES OBSERVATORIO,174.2194116828929,17.452317802503476
2020-08-10,USHUAIA AERO,NaN,NaN
2020-08-11,BUENOS AIRES OBSERVATORIO,179.0878240611961,15.279688456189152
2020-08-11,USHUAIA AERO,46.978999304589706,-891592.357
2020-08-12,BUENOS AIRES OBSERVATORIO,174.59960361613352,20.487381084840056
2020-08-12,USHUAIA AERO,49.03368706536857,-891592.357
2020-08-13,BUENOS AIRES OBSERVATORIO,167.9321314325452,30.014566063977746
2020-08-13,USHUAIA AERO,59.58309248956885,-483814.4983734353
2020-08-14,BUENOS AIRES OBSERVATORIO,172.41518776077885,34.3637454798331
2020-08-14,USHUAIA AERO,58.125417246175246,-2962.736633518776
2020-08-15,BUENOS AIRES OBSERVATORIO,180.57626773296244,21.75157719054242
2020-08-15,USHUAIA AERO,45.327474965229484,-2661.210278859527
2020-08-16,BUENOS AIRES OBSERVATORIO,173.87340542420029,29.86969888734353
2020-08-16,USHUAIA AERO,46.267297635605004,-21741.097419332404
2020-08-17,BUENOS AIRES OBSERVATORIO,182.17664673157162,20.97060778859527
2020-08-17,USHUAIA AERO,NaN,NaN
2020-08-18,BUENOS AIRES OBSERVATORIO,161.2335716272601,37.50096592489569
2020-08-18,USHUAIA AERO,NaN,NaN
2020-08-19,BUENOS AIRES OBSERVATORIO,125.23759248956884,46.52528789986092
2020-08-19,USHUAIA AERO,58.18892559109875,-102082.70902155772
2020-08-21,BUENOS AIRES OBSERVATORIO,189.02564673157164,35.78694923504868
2020-08-21,USHUAIA AERO,62.854755910987485,-1807.2835493741306
2020-08-22,BUENOS AIRES OBSERVATORIO,183.35269749652295,26.4205611961057
2020-08-22,USHUAIA AERO,73.98326912378303,-1533.8793247566064
2020-08-25,BUENOS AIRES OBSERVATORIO,76.62182127955494,59.837589012517384
2020-08-25,USHUAIA AERO,81.91781223922113,-2007.9046606397774
2020-08-26,BUENOS AIRES OBSERVATORIO,64.99057858136301,49.485059109874825
2020-08-26,USHUAIA AERO,NaN,NaN
2020-08-27,BUENOS AIRES OBSERVATORIO,200.65889777468706,24.087941585535464
2020-08-27,USHUAIA AERO,81.67215299026425,-1665.7362204450626
2020-08-28,BUENOS AIRES OBSERVATORIO,84.22099860917942,71.01887552155772
2020-08-28,USHUAIA AERO,50.69148817802503,-120074.37793393602
2020-08-29,BUENOS AIRES OBSERVATORIO,33.986648817802504,30.222622392211406
2020-08-29,USHUAIA AERO,12.47757371349096,-141434.8095549374
2020-08-30,BUENOS AIRES OBSERVATORIO,208.16251460361613,30.582886648122393
2020-08-30,USHUAIA AERO,76.25382684283727,-33946.8733108484
2020-08-31,BUENOS AIRES OBSERVATORIO,-2.62361797752809,-2.09961797752809
2020-08-31,USHUAIA AERO,90.698797635605,-2250.939468011127
